"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
110,"44109","NANTES","15_19","h",46,10134,4.53917505427275,"Fédération Française d'escrime",253
110,"44109","NANTES","5_9","all",67,14424,4.64503605102607,"Fédération Française d'escrime",254
110,"44109","NANTES","20_29","all",43,61559,0.698516869994639,"Fédération Française d'escrime",255
110,"44109","NANTES","75_99","f",0,15255,0,"Fédération Française d'escrime",256
110,"44109","NANTES","all","f",85,150160,0.566062866275972,"Fédération Française d'escrime",257
110,"44109","NANTES","10_14","f",23,6837,3.36404855930964,"Fédération Française d'escrime",258
110,"44109","NANTES","10_14","all",114,13768,8.28006972690296,"Fédération Française d'escrime",259
110,"44109","NANTES","75_99","all",0,22648,0,"Fédération Française d'escrime",260
110,"44109","NANTES","60_74","f",2,16920,0.118203309692671,"Fédération Française d'escrime",261
110,"44109","NANTES","30_44","h",33,29334,1.12497443239926,"Fédération Française d'escrime",262
110,"44109","NANTES","45_59","all",24,48534,0.494498701940907,"Fédération Française d'escrime",263
110,"44109","NANTES","45_59","f",12,25920,0.462962962962963,"Fédération Française d'escrime",264
110,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française d'escrime",265
110,"44109","NANTES","45_59","h",12,22614,0.530644733351021,"Fédération Française d'escrime",266
110,"44109","NANTES","15_19","all",63,21451,2.93692601743508,"Fédération Française d'escrime",267
110,"44109","NANTES","75_99","h",0,7393,0,"Fédération Française d'escrime",268
110,"44109","NANTES","60_74","all",4,29235,0.136822302035232,"Fédération Française d'escrime",269
110,"44109","NANTES","60_74","h",2,12316,0.16239038648912,"Fédération Française d'escrime",270
111,"44109","NANTES","all","all",6622,284959,23.2384307917981,"Fédération Française de football",271
111,"44109","NANTES","20_29","f",62,31181,1.98839036592797,"Fédération Française de football",272
111,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française de football",273
111,"44109","NANTES","10_14","all",1259,13768,91.4439279488669,"Fédération Française de football",274
111,"44109","NANTES","75_99","all",9,22648,0.397386082656305,"Fédération Française de football",275
111,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française de football",276
